req_consecutive,alpha,reach_resnet,reach_vit,reach_gap_abs,paired_reach,mean_td_resnet_paired,mean_td_vit_paired,td_gap_paired (R-V),cohens_d_paired,n_paired,n_total
5,0.9,0.642,0.216,0.42600000000000005,0.144,0.013888888888888888,0.16287878787878787,-0.14898989898989898,0.9252934762496166,72,500
5,0.91,0.636,0.212,0.42400000000000004,0.142,0.012072434607645873,0.15749039692701666,-0.1454179623193708,0.9175617846800804,71,500
5,0.92,0.63,0.21,0.42000000000000004,0.14,0.012244897959183671,0.15454545454545457,-0.1423005565862709,0.9145675129720366,70,500
5,0.93,0.628,0.208,0.42000000000000004,0.138,0.012422360248447202,0.15942028985507248,-0.14699792960662528,0.944814709616659,69,500
5,0.94,0.624,0.204,0.42000000000000004,0.136,0.01260504201680672,0.16176470588235298,-0.14915966386554624,0.9554058880043359,68,500
5,0.95,0.622,0.204,0.41800000000000004,0.136,0.01260504201680672,0.1631016042780749,-0.15049656226126817,0.9622340427461064,68,500
5,0.96,0.622,0.202,0.42,0.134,0.012793176972281448,0.15875169606512893,-0.1459585190928475,0.9386775395403707,67,500
5,0.97,0.622,0.202,0.42,0.134,0.014925373134328358,0.15875169606512893,-0.14382632293080058,0.9225907752400118,67,500
5,0.98,0.622,0.2,0.422,0.132,0.015151515151515152,0.16115702479338845,-0.1460055096418733,0.9332088013582001,66,500
5,0.99,0.622,0.198,0.424,0.13,0.015384615384615385,0.15804195804195806,-0.14265734265734267,0.9107780618856899,65,500
6,0.7,0.66,0.22,0.44000000000000006,0.15,0.007619047619047619,0.12363636363636364,-0.11601731601731602,0.8780727750859165,75,500
6,0.71,0.656,0.22,0.43600000000000005,0.148,0.007722007722007721,0.12530712530712532,-0.1175851175851176,0.8865772373308529,74,500
6,0.72,0.652,0.216,0.43600000000000005,0.142,0.008048289738430582,0.1203585147247119,-0.11231022498628132,0.8541581438842002,71,500
6,0.73,0.65,0.216,0.43400000000000005,0.142,0.008048289738430582,0.1203585147247119,-0.11231022498628132,0.8541581438842002,71,500
6,0.74,0.65,0.214,0.43600000000000005,0.14,0.008163265306122448,0.12207792207792208,-0.11391465677179963,0.8627843489018374,70,500
6,0.75,0.648,0.212,0.43600000000000005,0.136,0.010504201680672268,0.12566844919786097,-0.11516424751718869,0.8618665991787989,68,500
6,0.76,0.646,0.21,0.43600000000000005,0.136,0.010504201680672268,0.1270053475935829,-0.11650114591291062,0.8626528141613343,68,500
6,0.77,0.646,0.206,0.44000000000000006,0.132,0.01082251082251082,0.13636363636363638,-0.12554112554112556,0.8915272880829088,66,500
6,0.78,0.64,0.204,0.43600000000000005,0.132,0.01082251082251082,0.13636363636363638,-0.12554112554112556,0.8915272880829088,66,500
6,0.79,0.632,0.202,0.43,0.132,0.01082251082251082,0.14187327823691462,-0.1310507674144038,0.925098263964252,66,500
6,0.8,0.626,0.196,0.43,0.126,0.011337868480725622,0.13852813852813853,-0.1271902700474129,0.8978742560246481,63,500
6,0.81,0.618,0.194,0.424,0.122,0.011709601873536299,0.13412816691505217,-0.12241856504151587,0.8838540639021594,61,500
6,0.82,0.614,0.19,0.424,0.122,0.011709601873536299,0.13412816691505217,-0.12241856504151587,0.8838540639021594,61,500
6,0.83,0.61,0.186,0.424,0.12,0.009523809523809523,0.12878787878787878,-0.11926406926406927,0.8774127815639163,60,500
6,0.84,0.608,0.186,0.422,0.12,0.009523809523809523,0.12878787878787878,-0.11926406926406927,0.8774127815639163,60,500
6,0.85,0.604,0.184,0.42,0.12,0.009523809523809523,0.12878787878787878,-0.11926406926406927,0.8774127815639163,60,500
6,0.86,0.604,0.18,0.424,0.118,0.009685230024213074,0.13097072419106318,-0.1212854941668501,0.8881513523390329,59,500
6,0.87,0.6,0.18,0.42,0.118,0.009685230024213074,0.13097072419106318,-0.1212854941668501,0.8881513523390329,59,500
6,0.88,0.596,0.178,0.418,0.116,0.009852216748768473,0.12539184952978055,-0.11553963278101208,0.8602128996941457,58,500
6,0.89,0.594,0.176,0.418,0.114,0.010025062656641603,0.11961722488038276,-0.10959216222374116,0.831353197002768,57,500
6,0.9,0.594,0.172,0.422,0.112,0.01020408163265306,0.11201298701298701,-0.10180890538033395,0.8045034204927827,56,500
6,0.91,0.59,0.168,0.42199999999999993,0.112,0.01020408163265306,0.11201298701298701,-0.10180890538033395,0.8045034204927827,56,500
6,0.92,0.586,0.166,0.41999999999999993,0.11,0.01038961038961039,0.1074380165289256,-0.0970484061393152,0.8062516839741286,55,500
6,0.93,0.584,0.162,0.42199999999999993,0.108,0.010582010582010581,0.11279461279461278,-0.1022126022126022,0.8464676977584515,54,500
